Year	Week		Rate	Points
1972	01/07		7.46	1.0
	01/14		7.46	0.9
	01/21		7.43	1.0
	01/28		7.40	0.9
	02/04		7.35	0.9
	02/11		7.33	0.9
	02/18		7.31	0.9
	02/25		7.31	0.9
	03/03		7.32	0.9
	03/10		7.32	1.0
	03/17		7.31	0.9
	03/24		7.31	0.9
	03/31		7.23	0.9
	04/07		7.25	0.9
	04/14		7.29	0.9
	04/21		7.29	0.9
	04/28		7.33	1.0
	05/05		7.33	0.8
	05/12		7.38	0.9
	05/19		7.38	0.9
	05/26		7.40	0.9
	06/02		7.36	1.0
	06/09		7.38	1.0
	06/16		7.38	0.9
	06/23		7.36	0.9
	06/30		7.38	0.8
	07/07		7.38	0.9
	07/14		7.40	0.9
	07/21		7.40	0.9
	07/28		7.40	1.0
	08/04		7.35	0.9
	08/11		7.41	0.9
	08/18		7.42	0.9
	08/25		7.42	0.9
	09/01		7.42	1.0
	09/08		7.42	0.9
	09/15		7.42	0.9
	09/22		7.41	1.0
	09/29		7.43	1.0
	10/06		7.41	0.9
	10/13		7.41	0.9
	10/20		7.44	1.0
	10/27		7.42	1.0
	11/03		7.43	1.0
	11/10		7.42	1.0
	11/17		7.42	1.0
	11/24		7.44	0.9
	12/01		7.45	1.0
	12/08		7.43	1.0
	12/15		7.43	1.0
	12/22		7.45	1.0
	12/29		7.45	0.9
1973	01/05		7.44	0.9
	01/12		7.44	0.9
	01/19		7.44	0.9
	01/26		7.43	0.9
	02/02		7.43	0.9
	02/09		7.43	1.0
	02/16		7.45	0.9
	02/23		7.45	1.0
	03/02		7.45	1.0
	03/09		7.45	0.9
	03/16		7.45	0.9
	03/23		7.45	0.9
	03/30		7.49	0.9
	04/06		7.51	1.0
	04/13		7.54	0.9
	04/20		7.56	0.9
	04/27		7.56	0.9
	05/04		7.58	0.9
	05/11		7.64	0.9
	05/18		7.69	0.9
	05/24		7.70	0.9
	06/01		7.70	0.9
	06/08		7.73	0.9
	06/15		7.73	0.9
	06/22		7.75	0.9
	06/29		7.76	0.9
	07/06		7.89	0.9
	07/13		8.01	1.0
	07/20		8.12	0.9
	07/27		8.18	1.0
	08/03		8.26	1.0
	08/10		8.40	1.1
	08/17		8.55	1.0
	08/24		8.61	1.0
	08/31		8.66	1.1
	09/07		8.77	1.1
	09/14		8.81	1.1
	09/21		8.83	1.1
	09/28		8.85	1.1
	10/05		8.82	1.1
	10/12		8.83	1.1
	10/19		8.75	1.0
	10/26		8.68	1.0
	11/02		8.62	1.0
	11/09		8.59	1.0
	11/16		8.58	1.0
	11/23		8.57	1.0
	11/30		8.55	1.0
	12/07		8.53	1.0
	12/14		8.53	1.0
	12/21		8.53	1.0
	12/28		8.56	1.0
1974	01/04		8.56	1.0
	01/11		8.53	1.0
	01/18		8.55	1.0
	01/25		8.52	1.0
	02/01		8.48	1.0
	02/08		8.46	1.0
	02/15		8.46	1.0
	02/22		8.42	1.0
	03/01		8.41	1.0
	03/08		8.41	1.0
	03/15		8.40	1.0
	03/22		8.40	1.0
	03/29		8.41	1.0
	04/05		8.44	1.0
	04/12		8.53	1.0
	04/19		8.63	1.0
	04/26		8.73	1.0
	05/03		8.87	1.0
	05/10		8.98	1.0
	05/17		8.97	1.1
	05/24		9.01	1.1
	05/31		9.03	1.2
	06/07		9.06	1.2
	06/14		9.11	1.1
	06/21		9.07	1.2
	06/28		9.10	1.3
	07/05		9.14	1.3
	07/12		9.19	1.3
	07/19		9.37	1.2
	07/26		9.42	1.2
	08/02		9.47	1.3
	08/09		9.50	1.3
	08/16		9.60	1.2
	08/23		9.62	1.3
	08/30		9.74	1.3
	09/06		9.88	1.4
	09/13		9.92	1.4
	09/20		10.00	1.4
	09/27		10.03	1.4
	10/04		10.02	1.5
	10/11		9.96	1.5
	10/18		9.99	1.5
	10/25		9.94	1.5
	11/01		9.87	1.5
	11/08		9.81	1.4
	11/15		9.81	1.3
	11/22		9.73	1.3
	11/29		9.72	1.4
	12/06		9.69	1.3
	12/13		9.63	1.3
	12/20		9.58	1.3
	12/27		9.56	1.2
1975	01/03		9.60	1.2
	01/10		9.49	1.2
	01/17		9.43	1.2
	01/24		9.35	1.3
	01/31		9.29	1.2
	02/07		9.20	1.3
	02/14		9.13	1.2
	02/21		9.07	1.2
	02/28		9.02	1.1
	03/07		9.00	1.1
	03/14		8.89	1.1
	03/21		8.86	1.1
	03/28		8.86	1.1
	04/04		8.83	1.0
	04/11		8.81	1.0
	04/18		8.80	1.0
	04/25		8.84	1.0
	05/02		8.92	1.1
	05/09		8.88	1.0
	05/16		8.92	1.1
	05/23		8.92	1.1
	05/30		8.89	1.1
	06/06		8.89	1.0
	06/13		8.90	1.0
	06/20		8.88	1.0
	06/27		8.90	1.1
	07/03		8.88	1.1
	07/11		8.90	1.1
	07/18		8.89	1.1
	07/25		8.89	1.1
	08/01		8.89	1.1
	08/08		8.89	1.1
	08/15		8.93	1.1
	08/22		8.98	1.1
	08/29		9.02	1.1
	09/05		9.08	1.1
	09/12		9.16	1.1
	09/19		9.14	1.2
	09/26		9.14	1.1
	10/03		9.20	1.1
	10/10		9.21	1.1
	10/17		9.21	1.1
	10/24		9.26	1.1
	10/31		9.24	1.2
	11/07		9.19	1.2
	11/14		9.16	1.1
	11/21		9.12	1.1
	11/28		9.11	1.1
	12/05		9.11	1.1
	12/12		9.11	1.1
	12/19		9.08	1.1
	12/26		9.09	1.1
1976	01/02		9.10	1.1
	01/09		9.07	1.1
	01/16		9.01	1.1
	01/23		9.00	1.1
	01/30		8.90	1.0
	02/06		8.86	0.9
	02/13		8.83	0.9
	02/20		8.81	0.9
	02/27		8.75	1.1
	03/05		8.77	1.3
	03/12		8.75	1.3
	03/19		8.75	1.3
	03/26		8.75	1.3
	04/02		8.70	1.3
	04/09		8.70	1.3
	04/16		8.75	1.3
	04/23		8.75	1.3
	04/30		8.75	1.3
	05/07		8.75	1.3
	05/14		8.75	1.3
	05/21		8.78	1.3
	05/28		8.78	1.3
	06/04		8.78	1.3
	06/11		8.83	1.3
	06/18		8.88	1.3
	06/25		8.90	1.3
	07/02		8.93	1.3
	07/09		8.93	1.2
	07/16		8.93	1.2
	07/23		8.90	1.1
	07/30		8.98	1.2
	08/06		9.00	1.2
	08/13		9.00	1.2
	08/20		9.00	1.2
	08/27		9.00	1.2
	09/03		9.00	1.2
	09/10		8.97	1.2
	09/17		8.97	1.2
	09/24		8.97	1.2
	10/01		8.90	1.2
	10/08		8.95	1.2
	10/15		8.95	1.2
	10/22		8.95	1.1
	10/29		8.90	1.1
	11/05		8.85	1.3
	11/12		8.80	1.3
	11/19		8.80	1.3
	11/26		8.80	1.3
	12/03		8.80	1.3
	12/10		8.80	1.2
	12/17		8.80	1.2
	12/24		8.78	1.2
	12/31		8.78	1.2
1977	01/07		8.70	1.1
	01/14		8.73	1.1
	01/21		8.73	1.1
	01/28		8.73	1.1
	02/04		8.68	1.1
	02/11		8.70	1.1
	02/18		8.65	1.2
	02/25		8.65	1.1
	03/04		8.65	1.2
	03/11		8.70	1.2
	03/18		8.70	1.2
	03/25		8.70	1.2
	04/01		8.70	1.1
	04/08		8.75	1.2
	04/15		8.75	1.1
	04/22		8.78	1.1
	04/29		8.78	1.1
	05/06		8.78	1.2
	05/13		8.83	1.1
	05/20		8.85	1.1
	05/27		8.85	1.1
	06/03		8.85	1.1
	06/10		8.85	1.1
	06/17		8.85	1.1
	06/24		8.88	1.1
	07/01		8.95	1.1
	07/08		8.93	1.1
	07/15		8.95	1.1
	07/22		8.95	1.1
	07/29		8.93	1.1
	08/05		8.95	1.1
	08/12		8.95	1.1
	08/19		8.93	1.1
	08/26		8.93	1.1
	09/02		8.88	1.1
	09/09		8.90	1.1
	09/16		8.90	1.1
	09/23		8.90	1.1
	09/30		8.90	1.2
	10/07		8.93	1.2
	10/14		8.93	1.2
	10/21		8.93	1.2
	10/28		8.90	1.1
	11/04		8.90	1.1
	11/11		8.93	1.1
	11/18		8.93	1.1
	11/25		8.93	1.2
	12/02		8.95	1.1
	12/09		8.95	1.2
	12/16		8.95	1.3
	12/23		8.95	1.3
	12/30		9.00	1.2
1978	01/06		9.00	1.3
	01/13		9.03	1.2
	01/20		8.98	1.3
	01/27		9.05	1.3
	02/03		9.13	1.3
	02/10		9.15	1.3
	02/17		9.15	1.3
	02/24		9.15	1.3
	03/03		9.15	1.3
	03/10		9.15	1.3
	03/17		9.23	1.3
	03/24		9.23	1.3
	03/31		9.25	1.3
	04/07		9.28	1.3
	04/14		9.33	1.3
	04/21		9.38	1.2
	04/28		9.43	1.2
	05/05		9.48	1.2
	05/12		9.55	1.4
	05/19		9.58	1.3
	05/26		9.68	1.4
	06/02		9.68	1.4
	06/09		9.70	1.4
	06/16		9.73	1.4
	06/23		9.70	1.4
	06/30		9.73	1.4
	07/07		9.73	1.5
	07/14		9.73	1.5
	07/21		9.75	1.3
	07/28		9.75	1.3
	08/04		9.78	1.3
	08/11		9.78	1.3
	08/18		9.78	1.3
	08/25		9.80	1.3
	09/01		9.75	1.3
	09/08		9.75	1.3
	09/15		9.75	1.3
	09/22		9.75	1.4
	09/29		9.78	1.4
	10/06		9.85	1.2
	10/13		9.85	1.2
	10/20		9.85	1.2
	10/27		9.88	1.2
	11/03		9.90	1.2
	11/10		10.05	1.2
	11/17		10.20	1.2
	11/24		10.28	1.3
	12/01		10.30	1.4
	12/08		10.35	1.4
	12/15		10.35	1.4
	12/22		10.35	1.4
	12/29		10.38	1.4
1979	01/05		10.38	1.5
	01/12		10.38	1.5
	01/19		10.40	1.5
	01/26		10.40	1.5
	02/02		10.40	1.5
	02/09		10.43	1.5
	02/16		10.40	1.5
	02/23		10.40	1.5
	03/02		10.43	1.5
	03/09		10.40	1.5
	03/16		10.40	1.5
	03/23		10.45	1.6
	03/30		10.45	1.6
	04/06		10.48	1.6
	04/13		10.48	1.6
	04/20		10.50	1.2
	04/27		10.53	1.6
	05/04		10.60	1.6
	05/11		10.68	1.6
	05/18		10.73	1.6
	05/25		10.75	1.6
	06/01		10.90	1.6
	06/08		11.03	1.6
	06/15		11.05	1.6
	06/22		11.10	1.7
	06/29		11.10	1.6
	07/06		11.13	1.7
	07/13		11.08	1.7
	07/20		11.08	1.6
	07/27		11.08	1.6
	08/03		11.08	1.6
	08/10		11.08	1.6
	08/17		11.08	1.7
	08/24		11.10	1.7
	08/31		11.13	1.7
	09/07		11.20	1.7
	09/14		11.30	1.6
	09/21		11.35	1.6
	09/28		11.35	1.6
	10/05		11.35	1.6
	10/12		11.45	1.6
	10/19		11.75	1.7
	10/26		12.00	1.7
	11/02		12.80	1.7
	11/09		12.85	1.7
	11/16		12.80	1.7
	11/23		12.80	1.7
	11/30		12.90	1.6
	12/07		12.90	1.6
	12/14		12.90	1.6
	12/21		12.90	1.6
	12/28		12.90	1.6
1980	01/04		12.85	1.6
	01/11		12.90	1.6
	01/18		12.87	1.6
	01/25		12.89	1.6
	02/01		12.85	1.6
	02/08		12.85	1.6
	02/15		12.88	1.6
	02/22		13.03	1.6
	02/29		13.59	1.8
	03/07		14.00	1.9
	03/14		15.40	1.9
	03/21		15.70	2.0
	03/28		16.03	2.1
	04/04		16.35	2.0
	04/11		16.35	1.9
	04/18		16.35	1.9
	04/25		16.25	1.9
	05/02		15.90	1.9
	05/09		14.68	1.8
	05/16		14.15	1.8
	05/23		13.38	1.9
	05/30		13.20	1.9
	06/06		13.06	1.8
	06/13		12.85	1.8
	06/20		12.58	1.9
	06/27		12.35	1.7
	07/04		12.18	1.7
	07/11		12.23	1.7
	07/18		12.18	1.8
	07/25		12.18	1.8
	08/01		12.25	1.8
	08/08		12.25	1.8
	08/15		12.55	1.7
	08/22		12.80	1.7
	08/29		12.95	1.7
	09/05		13.03	1.7
	09/12		13.08	1.8
	09/19		13.25	1.7
	09/26		13.43	1.7
	10/03		13.60	1.8
	10/10		13.73	1.7
	10/17		13.78	1.8
	10/24		13.85	1.7
	10/31		14.00	1.7
	11/07		14.08	1.7
	11/14		14.18	1.7
	11/21		14.28	1.7
	11/28		14.28	1.7
	12/05		14.43	1.7
	12/12		14.83	1.7
	12/19		14.95	1.7
	12/26		14.95	1.7
1981	01/02		14.95	2.0
	01/09		14.80	2.0
	01/16		14.85	2.0
	01/23		14.85	2.0
	01/30		15.07	2.0
	02/06		15.00	2.0
	02/13		15.03	2.0
	02/20		15.20	2.0
	02/27		15.30	2.0
	03/06		15.40	2.0
	03/13		15.40	2.1
	03/20		15.40	2.0
	03/27		15.40	2.0
	04/03		15.40	2.0
	04/10		15.50	2.0
	04/17		15.65	2.0
	04/24		15.77	2.1
	05/01		15.82	1.9
	05/08		16.12	2.1
	05/15		16.64	2.1
	05/22		16.63	2.1
	05/29		16.80	2.1
	06/05		16.76	2.1
	06/12		16.69	2.0
	06/19		16.71	2.1
	06/26		16.62	2.1
	07/03		16.64	2.1
	07/10		16.79	2.2
	07/17		16.74	2.1
	07/24		16.88	2.1
	07/31		17.11	2.2
	08/07		17.13	2.0
	08/14		17.27	2.1
	08/21		17.26	2.1
	08/28		17.48	2.1
	09/04		17.79	2.0
	09/11		18.22	2.1
	09/18		18.27	2.2
	09/25		18.36	2.2
	10/02		18.28	2.4
	10/09		18.63	2.2
	10/16		18.53	2.3
	10/21		18.39	2.2
	10/30		18.44	2.3
	11/06		18.37	2.1
	11/13		18.02	2.1
	11/20		17.70	2.2
	11/27		17.21	2.1
	12/04		16.90	2.1
	12/11		16.94	2.1
	12/18		16.90	2.0
	12/25		16.95	2.0
	12/31		17.04	2.1
1982	01/08		17.30	2.1
	01/15		17.44	2.2
	01/22		17.61	2.2
	01/29		17.59	2.2
	02/05		17.56	2.2
	02/12		17.65	2.2
	02/19		17.66	2.3
	02/26		17.52	2.2
	03/05		17.29	2.2
	03/12		17.19	2.3
	03/19		17.12	2.2
	03/26		17.04	2.2
	04/02		16.95	2.2
	04/09		16.91	2.3
	04/16		16.93	2.3
	04/23		16.86	2.3
	04/30		16.81	2.4
	05/07		16.78	2.3
	05/14		16.63	2.4
	05/21		16.67	2.3
	05/28		16.63	2.3
	06/04		16.65	2.2
	06/11		16.70	2.2
	06/18		16.71	2.1
	06/25		16.73	2.3
	07/02		16.87	2.3
	07/09		16.93	2.3
	07/16		16.88	2.2
	07/23		16.75	2.2
	07/30		16.65	2.2
	08/06		16.55	2.2
	08/13		16.44	2.2
	08/20		16.21	2.3
	08/27		15.88	2.3
	09/03		15.59	2.2
	09/10		15.56	2.3
	09/17		15.38	2.3
	09/24		15.19	2.2
	10/01		15.13	2.3
	10/08		14.96	2.2
	10/15		14.60	2.2
	10/22		14.20	2.2
	10/29		14.15	2.2
	11/05		13.91	2.2
	11/12		13.84	2.3
	11/19		13.78	2.1
	11/26		13.77	2.1
	12/03		13.66	2.2
	12/10		13.66	2.2
	12/17		13.63	2.2
	12/24		13.60	2.1
	12/31		13.57	2.3
1983	01/07		13.46	2.2
	01/14		13.31	2.2
	01/21		13.12	2.2
	01/28		13.10	2.0
	02/04		13.06	2.0
	02/11		13.06	1.9
	02/18		13.07	2.0
	02/25		12.98	1.9
	03/04		12.74	2.1
	03/11		12.79	2.1
	03/18		12.81	2.2
	03/25		12.86	2.2
	04/01		12.82	2.2
	04/08		12.82	2.2
	04/15		12.79	2.2
	04/22		12.75	2.0
	04/29		12.73	2.1
	05/06		12.71	2.1
	05/13		12.59	2.1
	05/20		12.55	2.1
	05/27		12.68	2.1
	06/03		12.74	2.2
	06/10		12.82	2.0
	06/17		12.96	2.1
	06/24		12.96	2.1
	07/01		13.08	2.1
	07/08		13.30	2.1
	07/15		13.50	2.2
	07/22		13.58	2.2
	07/29		13.65	2.2
	08/05		13.73	2.2
	08/12		13.84	2.2
	08/19		13.89	2.2
	08/26		13.78	2.2
	09/02		13.77	2.2
	09/09		13.77	2.2
	09/16		13.72	2.2
	09/23		13.72	2.2
	09/30		13.65	2.2
	10/07		13.59	2.2
	10/14		13.60	2.2
	10/21		13.52	2.1
	10/28		13.43	2.0
	11/04		13.42	2.1
	11/11		13.47	2.1
	11/18		13.42	2.2
	11/25		13.43	2.1
	12/02		13.41	2.1
	12/09		13.38	2.2
	12/16		13.42	2.1
	12/23		13.46	2.2
	12/30		13.43	2.2
1984	01/06		13.43	2.3
	01/13		13.40	2.3
	01/20		13.35	2.3
	01/27		13.29	2.3
	02/03		13.26	2.5
	02/10		13.23	2.4
	02/17		13.19	2.4
	02/24		13.25	2.4
	03/02		13.23	2.4
	03/09		13.30	2.4
	03/16		13.37	2.4
	03/23		13.48	2.4
	03/30		13.55	2.4
	04/06		13.63	2.4
	04/13		13.58	2.4
	04/20		13.67	2.5
	04/27		13.73	2.4
	05/04		13.78	2.4
	0511		13.87	2.5
	05/18		14.04	2.5
	05/25		14.08	2.5
	06/01		14.29	2.4
	06/08		14.33	2.5
	06/15		14.47	2.5
	06/22		14.49	2.5
	06/29		14.50	2.5
	07/06		14.66	2.4
	07/13		14.68	2.6
	07/20		14.66	2.6
	07/27		14.67	2.7
	08/03		14.68	2.6
	08/10		14.54	2.6
	08/17		14.39	2.6
	08/24		14.36	2.6
	08/31		14.38	2.6
	09/07		14.42	2.6
	09/14		14.43	2.5
	09/21		14.29	2.7
	09/28		14.26	2.5
	10/05		14.18	2.6
	10/12		14.19	2.6
	10/19		14.10	2.6
	10/26		14.05	2.6
	11/02		13.85	2.5
	11/09		13.74	2.5
	11/16		13.63	2.5
	11/23		13.55	2.5
	11/30		13.42	2.4
	12/07		13.20	2.6
	12/14		13.20	2.5
	12/21		13.18	2.5
	12/28		13.14	2.5
1985	01/04		13.10	2.5
	01/11		13.12	2.5
	01/18		13.12	2.5
	01/25		12.96	2.5
	02/01		12.93	2.4
	02/08		12.91	2.4
	02/15		12.90	2.5
	02/22		12.94	2.4
	03/01		13.02	2.5
	03/08		13.10	2.6
	03/15		13.20	2.6
	03/22		13.24	2.7
	03/29		13.29	2.7
	04/05		13.27	2.7
	04/12		13.23	2.6
	04/19		13.16	2.6
	04/26		13.12	2.5
	05/03		13.07	2.6
	05/10		13.02	2.6
	05/17		12.94	2.5
	05/24		12.83	2.5
	05/31		12.71	2.5
	06/07		12.39	2.5
	06/14		12.27	2.5
	06/21		12.05	2.6
	06/28		12.15	2.5
	07/05		12.13	2.6
	07/12		12.03	2.5
	07/19		11.94	2.4
	07/26		12.03	2.6
	08/02		12.17	2.6
	08/09		12.23	2.6
	08/16		12.24	2.7
	08/23		12.18	2.5
	08/30		12.11	2.7
	09/06		12.15	2.5
	09/13		12.24	2.5
	09/20		12.21	2.5
	09/27		12.17	2.7
	10/04		12.17	2.6
	10/11		12.17	2.5
	10/18		12.13	2.5
	10/25		12.07	2.4
	11/01		12.01	2.4
	11/08		11.90	2.4
	11/15		11.79	2.4
	11/22		11.64	2.3
	11/29		11.58	2.3
	12/06		11.50	2.4
	12/13		11.31	2.3
	12/20		11.14	2.3
	12/27		11.09	2.2
1986	01/03		10.81	2.3
	01/10		10.77	2.3
	01/17		10.99	2.4
	01/24		10.97	2.3
	01/31		10.89	2.4
	02/07		10.85	2.3
	02/14		10.80	2.4
	02/21		10.68	2.3
	02/28		10.51	2.2
	03/07		10.20	2.3
	03/14		10.01	2.3
	03/21		10.01	2.3
	03/28		10.10	2.3
	04/04		9.99	2.3
	04/11		9.98	2.3
	04/18		9.92	2.1
	04/25		9.86	2.2
	05/02		9.90	2.2
	05/09		10.00	2.2
	05/16		10.08	2.3
	05/23		10.36	2.4
	05/30		10.38	2.3
	06/06		10.74	2.3
	06/13		10.76	2.3
	06/20		10.61	2.2
	06/27		10.62	2.2
	07/04		10.61	2.2
	07/11		10.59	2.2
	07/18		10.43	2.2
	07/25		10.40	2.2
	08/01		10.40	2.1
	08/08		10.40	2.2
	08/15		10.23	2.1
	08/22		10.04	2.1
	08/29		9.93	2.1
	09/05		9.90	2.2
	09/12		9.96	2.1
	09/19		10.07	2.1
	09/26		10.10	2.2
	10/03		10.08	2.1
	10/10		9.99	2.1
	10/17		9.96	2.1
	10/24		9.95	2.2
	10/31		9.89	2.1
	11/07		9.83	2.1
	11/14		9.81	2.0
	11/21		9.64	2.0
	11/28		9.50	2.0
	12/05		9.30	2.0
	12/12		9.35	2.1
	12/19		9.30	2.1
	12/26		9.29	2.1
1987	01/02		9.37	2.2
	01/09		9.32	2.2
	01/16		9.21	2.1
	01/23		9.04	2.2
	01/30		9.08	2.2
	02/06		9.06	2.1
	02/13		9.09	2.1
	02/20		9.11	2.1
	02/27		9.07	2.1
	03/06		9.03	2.0
	03/13		9.05	2.1
	03/20		9.03	2.1
	03/27		9.03	2.0
	04/03		9.26	2.2
	04/10		9.43	2.3
	04/17		10.27	2.3
	04/24		10.37	2.2
	05/01		10.47	2.2
	05/08		10.52	2.2
	05/15		10.48	2.3
	05/22		10.81	2.3
	05/29		10.70	2.3
	06/05		10.70	2.3
	06/12		10.66	2.2
	06/19		10.44	2.2
	06/26		10.35	2.2
	07/03		10.36	2.2
	07/10		10.30	2.2
	07/17		10.23	2.2
	07/24		10.23	2.1
	07/31		10.27	2.2
	08/07		10.35	2.0
	08/14		10.34	2.0
	08/21		10.30	2.2
	08/28		10.33	2.1
	09/04		10.63	2.2
	09/11		10.91	2.2
	09/18		10.99	2.3
	09/25		11.02	2.2
	10/02		11.18	2.3
	10/09		11.21	2.2
	10/16		11.58	2.3
	10/23		11.36	2.2
	10/30		10.97	2.2
	11/06		10.79	2.1
	11/13		10.66	2.1
	11/20		10.60	2.0
	11/27		10.55	2.0
	12/04		10.60	2.1
	12/11		10.66	2.2
	12/18		10.69	2.2
	12/25		10.64	2.2
	12/31		10.61	2.0
1988	01/08		10.50	2.0
	01/15		10.53	2.0
	01/22		10.34	2.0
	01/29		10.16	2.0
	02/05		9.94	2.0
	02/12		9.84	2.1
	02/19		9.92	2.1
	02/26		9.87	2.1
	03/04		9.85	2.0
	03/11		9.96	2.0
	03/18		9.92	2.0
	03/25		9.99	2.1
	04/01		10.05	2.1
	04/08		10.19	2.2
